n,p,seed,k,method,found,solution,valid,timeout,num_variables,num_clauses,encoding_time,solver_time,total_time
40,0.2,1,16,backtracking,False,[],True,False,,,,2.355561100000001,2.355561100000001
40,0.2,1,16,minisat,False,[],True,False,424,909,0.00462930000000128,0.016569600000000406,0.021198900000001686
40,0.2,1,16,cadical,False,[],True,False,424,909,0.00462930000000128,0.03085909999999714,0.03548839999999842
40,0.2,2,12,backtracking,True,"[0, 1, 5, 7, 10, 13, 17, 19, 26, 29, 33, 38]",True,False,,,,0.3175808999999994,0.3175808999999994
40,0.2,2,12,minisat,True,"[0, 1, 9, 10, 13, 14, 15, 20, 25, 35, 37, 38]",True,False,376,806,0.003399500000000444,0.01064530000000019,0.014044800000000635
40,0.2,2,12,cadical,True,"[1, 6, 7, 11, 22, 26, 31, 33, 35, 37, 38, 39]",True,False,376,806,0.003399500000000444,0.015932299999999344,0.019331799999999788
40,0.2,2,16,backtracking,False,[],True,False,,,,5.5016012,5.5016012
40,0.2,2,16,minisat,False,[],True,False,424,910,0.0025002000000000635,0.025534500000006233,0.028034700000006296
40,0.2,2,16,cadical,False,[],True,False,424,910,0.0025002000000000635,0.04791219999999896,0.050412399999999025
40,0.2,3,12,backtracking,True,"[0, 1, 3, 4, 5, 11, 14, 19, 30, 32, 36, 37]",True,False,,,,0.15246060000000483,0.15246060000000483
40,0.2,3,12,minisat,True,"[0, 1, 4, 5, 9, 10, 13, 17, 25, 30, 32, 37]",True,False,376,817,0.003145799999998644,0.006366299999996272,0.009512099999994916
40,0.2,3,12,cadical,True,"[3, 5, 11, 14, 18, 19, 26, 28, 30, 35, 36, 37]",True,False,376,817,0.003145799999998644,0.025252799999996967,0.02839859999999561
40,0.2,3,16,backtracking,False,[],True,False,,,,4.063451299999997,4.063451299999997
40,0.2,3,16,minisat,False,[],True,False,424,921,0.004752400000000989,0.028761900000006335,0.033514300000007324
40,0.2,3,16,cadical,False,[],True,False,424,921,0.004752400000000989,0.027045800000010445,0.031798200000011434
40,0.5,1,12,backtracking,False,[],True,False,,,,0.09412589999999454,0.09412589999999454
40,0.5,1,12,minisat,False,[],True,False,376,1034,0.002143199999991907,0.007672900000002869,0.009816099999994776
40,0.5,1,12,cadical,False,[],True,False,376,1034,0.002143199999991907,0.016667100000006485,0.018810299999998392
40,0.5,1,16,backtracking,False,[],True,False,,,,0.04570550000001106,0.04570550000001106
40,0.5,1,16,minisat,False,[],True,False,424,1138,0.0025417999999888252,0.005411300000005781,0.007953099999994606
40,0.5,1,16,cadical,False,[],True,False,424,1138,0.0025417999999888252,0.01182160000000465,0.014363399999993476
40,0.5,2,12,backtracking,False,[],True,False,,,,0.09571459999999377,0.09571459999999377
40,0.5,2,12,minisat,False,[],True,False,376,1045,0.0020206000000086988,0.0066467999999986205,0.00866740000000732
40,0.5,2,12,cadical,False,[],True,False,376,1045,0.0020206000000086988,0.01592810000001066,0.017948700000019358
40,0.5,2,16,backtracking,False,[],True,False,,,,0.05553489999999783,0.05553489999999783
40,0.5,2,16,minisat,False,[],True,False,424,1149,0.0027100000000075397,0.005881200000004583,0.008591200000012122
40,0.5,2,16,cadical,False,[],True,False,424,1149,0.0027100000000075397,0.012003300000003492,0.014713300000011031
40,0.5,3,12,backtracking,False,[],True,False,,,,0.0680872000000079,0.0680872000000079
40,0.5,3,12,minisat,False,[],True,False,376,1050,0.0020901000000037584,0.006389999999996121,0.00848009999999988
40,0.5,3,12,cadical,False,[],True,False,376,1050,0.0020901000000037584,0.01383999999998764,0.0159300999999914
40,0.5,3,16,backtracking,False,[],True,False,,,,0.03779130000000919,0.03779130000000919
40,0.5,3,16,minisat,False,[],True,False,424,1154,0.003528000000002862,0.0065908999999919615,0.010118899999994824
40,0.5,3,16,cadical,False,[],True,False,424,1154,0.003528000000002862,0.010932800000006182,0.014460800000009044
40,0.8,1,12,backtracking,False,[],True,False,,,,0.008883300000007921,0.008883300000007921
40,0.8,1,12,minisat,False,[],True,False,376,1273,0.002595099999993522,0.007279500000009875,0.009874600000003397
40,0.8,1,12,cadical,False,[],True,False,376,1273,0.002595099999993522,0.010944699999996033,0.013539799999989555
40,0.8,1,16,backtracking,False,[],True,False,,,,0.005706000000003542,0.005706000000003542
40,0.8,1,16,minisat,False,[],True,False,424,1377,0.0024798000000032516,0.00563220000000797,0.008112000000011221
40,0.8,1,16,cadical,False,[],True,False,424,1377,0.0024798000000032516,0.01141359999999736,0.01389340000000061
40,0.8,2,12,backtracking,False,[],True,False,,,,0.009913000000011607,0.009913000000011607
40,0.8,2,12,minisat,False,[],True,False,376,1280,0.002438900000001354,0.005678399999993644,0.008117299999994998
40,0.8,2,12,cadical,False,[],True,False,376,1280,0.002438900000001354,0.010405500000004508,0.012844400000005862
40,0.8,2,16,backtracking,False,[],True,False,,,,0.006605499999992048,0.006605499999992048
40,0.8,2,16,minisat,False,[],True,False,424,1384,0.0024995000000131995,0.0056507999999979575,0.008150300000011157
40,0.8,2,16,cadical,False,[],True,False,424,1384,0.0024995000000131995,0.011590900000001625,0.014090400000014824
40,0.8,3,12,backtracking,False,[],True,False,,,,0.008977599999994368,0.008977599999994368
40,0.8,3,12,minisat,False,[],True,False,376,1285,0.004105699999996659,0.005697799999992981,0.00980349999998964
40,0.8,3,12,cadical,False,[],True,False,376,1285,0.004105699999996659,0.010327399999994213,0.014433099999990873
40,0.8,3,16,backtracking,False,[],True,False,,,,0.00564690000000212,0.00564690000000212
40,0.8,3,16,minisat,False,[],True,False,424,1389,0.0026311000000021068,0.005671300000003043,0.00830240000000515
40,0.8,3,16,cadical,False,[],True,False,424,1389,0.0026311000000021068,0.010815100000002076,0.013446200000004183
50,0.2,1,15,backtracking,True,"[0, 4, 6, 12, 13, 16, 23, 28, 32, 33, 39, 44, 45, 46, 47]",True,False,,,,2.6754820999999964,2.6754820999999964
50,0.2,1,15,minisat,True,"[0, 4, 6, 12, 13, 16, 23, 28, 32, 33, 39, 44, 45, 46, 47]",True,False,575,1257,0.0026405999999923324,0.010214499999989357,0.01285509999998169
50,0.2,1,15,cadical,True,"[1, 11, 12, 14, 17, 20, 23, 27, 32, 33, 35, 36, 37, 38, 49]",True,False,575,1257,0.0026405999999923324,0.022842900000000554,0.025483499999992887
50,0.2,1,20,backtracking,,[],,True,,,,10.0,10.0
50,0.2,1,20,minisat,False,[],True,False,650,1417,0.003050600000008785,0.03500900000000229,0.03805960000001107
50,0.2,1,20,cadical,False,[],True,False,650,1417,0.003050600000008785,0.03800859999999773,0.04105920000000651
50,0.2,2,15,backtracking,,[],,True,,,,10.0,10.0
50,0.2,2,15,minisat,True,"[5, 10, 14, 16, 21, 24, 31, 32, 34, 37, 38, 41, 43, 44, 46]",True,False,575,1271,0.002853199999989897,0.018476100000000883,0.02132929999999078
50,0.2,2,15,cadical,True,"[5, 8, 9, 13, 21, 22, 24, 32, 34, 38, 41, 42, 43, 44, 46]",True,False,575,1271,0.002853199999989897,0.1408657000000062,0.1437188999999961
50,0.2,2,20,backtracking,,[],,True,,,,10.0,10.0
50,0.2,2,20,minisat,False,[],True,False,650,1431,0.003080800000006434,0.02708470000000318,0.030165500000009615
50,0.2,2,20,cadical,False,[],True,False,650,1431,0.003080800000006434,0.04458900000000199,0.04766980000000842
50,0.2,3,15,backtracking,True,"[0, 2, 4, 5, 8, 9, 10, 12, 13, 24, 30, 37, 41, 44, 45]",True,False,,,,2.960919199999978,2.960919199999978
50,0.2,3,15,minisat,True,"[0, 4, 8, 9, 12, 13, 15, 19, 24, 31, 32, 37, 41, 44, 45]",True,False,575,1279,0.0030399999999985994,0.0699764000000016,0.0730164000000002
50,0.2,3,15,cadical,True,"[4, 8, 9, 12, 13, 15, 16, 19, 22, 24, 31, 32, 37, 44, 45]",True,False,575,1279,0.0030399999999985994,0.24762989999999263,0.25066989999999123
50,0.2,3,20,backtracking,,[],,True,,,,10.0,10.0
50,0.2,3,20,minisat,False,[],True,False,650,1439,0.00539489999999887,0.04369909999999777,0.04909399999999664
50,0.2,3,20,cadical,False,[],True,False,650,1439,0.00539489999999887,0.057952299999982415,0.06334719999998129
50,0.5,1,15,backtracking,False,[],True,False,,,,0.23213619999998514,0.23213619999998514
50,0.5,1,15,minisat,False,[],True,False,575,1617,0.003691899999978432,0.01431940000000509,0.01801129999998352
50,0.5,1,15,cadical,False,[],True,False,575,1617,0.003691899999978432,0.02464589999999589,0.028337799999974322
50,0.5,1,20,backtracking,False,[],True,False,,,,0.11580449999999587,0.11580449999999587
50,0.5,1,20,minisat,False,[],True,False,650,1777,0.0037416999999777545,0.010723400000017591,0.014465099999995346
50,0.5,1,20,cadical,False,[],True,False,650,1777,0.0037416999999777545,0.01924959999999487,0.022991299999972625
50,0.5,2,15,backtracking,False,[],True,False,,,,0.15891709999999648,0.15891709999999648
50,0.5,2,15,minisat,False,[],True,False,575,1636,0.00488919999997961,0.0151853999999787,0.02007459999995831
50,0.5,2,15,cadical,False,[],True,False,575,1636,0.00488919999997961,0.0236883999999975,0.02857759999997711
50,0.5,2,20,backtracking,False,[],True,False,,,,0.0862419999999986,0.0862419999999986
50,0.5,2,20,minisat,False,[],True,False,650,1796,0.0035681999999894742,0.009214200000002393,0.012782399999991867
50,0.5,2,20,cadical,False,[],True,False,650,1796,0.0035681999999894742,0.01706169999999929,0.020629899999988766
50,0.5,3,15,backtracking,False,[],True,False,,,,0.20093230000000517,0.20093230000000517
50,0.5,3,15,minisat,False,[],True,False,575,1654,0.010208200000022316,0.014212299999996958,0.024420500000019274
50,0.5,3,15,cadical,False,[],True,False,575,1654,0.010208200000022316,0.023794699999996283,0.0340029000000186
50,0.5,3,20,backtracking,False,[],True,False,,,,0.10170699999997623,0.10170699999997623
50,0.5,3,20,minisat,False,[],True,False,650,1814,0.0050410999999996875,0.0123437000000024,0.017384800000002087
50,0.5,3,20,cadical,False,[],True,False,650,1814,0.0050410999999996875,0.01939900000002126,0.024440100000020948
50,0.8,1,15,backtracking,False,[],True,False,,,,0.018147399999975278,0.018147399999975278
50,0.8,1,15,minisat,False,[],True,False,575,1998,0.0039260000000069795,0.01078160000000139,0.01470760000000837
50,0.8,1,15,cadical,False,[],True,False,575,1998,0.0039260000000069795,0.01655370000000289,0.02047970000000987
50,0.8,1,20,backtracking,False,[],True,False,,,,0.01403779999998278,0.01403779999998278
50,0.8,1,20,minisat,False,[],True,False,650,2158,0.005149000000017168,0.008626700000007759,0.013775700000024926
50,0.8,1,20,cadical,False,[],True,False,650,2158,0.005149000000017168,0.016510899999985895,0.021659900000003063
50,0.8,2,15,backtracking,False,[],True,False,,,,0.02322509999999056,0.02322509999999056
